新闻频道,#genre#
安徽公共高清,http://skycw.vicp.net:4022/udp/238.1.79.43:4456
安徽综艺高清,http://skycw.vicp.net:4022/udp/238.1.79.41:4440
安徽农业高清,http://skycw.vicp.net:4022/udp/238.1.79.40:4432
海豚影视高清,http://skycw.vicp.net:4022/udp/238.1.79.34:4384
海豚健康高清,http://skycw.vicp.net:4022/udp/238.1.79.33:4376 
海豚少儿高清,http://skycw.vicp.net:4022/udp/238.1.79.32:4368 
海豚生活高清,http://skycw.vicp.net:4022/udp/238.1.79.50:4512 
安徽综艺体育,http://live1.ahwanyun.cn/wylive/ccbf08e9-40a1-43ac-b0ab-89b32d90c9f8.m3u8
安徽综艺体育,http://sheenic.ueuo.com/ahhdtv.php?id=17
安徽影视,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽影视,http://live1.ahwanyun.cn/wylive/9f8f237e-586a-4e53-ae57-8abc222ff0f1.m3u8
安徽影视,http://sheenic.ueuo.com/ahhdtv.php?id=13
安徽农业科技,http://sheenic.ueuo.com/ahhdtv.php?id=14
安徽公共,http://sheenic.ueuo.com/ahhdtv.php?id=16
安徽人物频道,http://sheenic.ueuo.com/ahhdtv.php?id=19
安徽国际,http://sheenic.ueuo.com/ahhdtv.php?id=18
合肥新闻,https://hylive.hfbtv.com/lsdream/pdq062k/1000/live.m3u8
合肥生活,https://hylive.hfbtv.com/lsdream/5osSo9R/1000/live.m3u8
合肥故事休闲,https://hylive.hfbtv.com/lsdream/q66ojce/1000/live.m3u8
合肥财经,https://hylive.hfbtv.com/lsdream/FRTSshY/1000/live.m3u8
合肥教育法制,https://hylive.hfbtv.com/lsdream/5EfK6HI/1000/live.m3u8
合肥公共,https://hylive.hfbtv.com/lsdream/pytL5lE/1000/live.m3u8
肥西综合频道,http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5/hls.m3u8
肥东经济生活,http://120.210.216.73:8080/ysten-business/live/SD12-576P-fdjjsh/1.m3u8
长丰新闻综合,http://218.23.114.19:1935/live/xinwen/playlist.m3u8
桐城新闻频道,http://pili-live-hls.ahtc.tianma3600.com/ahtc/tcxw.m3u8
合肥财经,https://hylive.hfbtv.com/lsdream/FRTSshY/1000/live.m3u8
合肥公共,https://hylive.hfbtv.com/lsdream/pytL5lE/1000/live.m3u8
合肥故事休闲,https://hylive.hfbtv.com/lsdream/q66ojce/1000/live.m3u8
合肥教育法制,https://hylive.hfbtv.com/lsdream/5EfK6HI/1000/live.m3u8
合肥生活,https://hylive.hfbtv.com/lsdream/5osSo9R/1000/live.m3u8
合肥新闻,https://hylive.hfbtv.com/lsdream/pdq062k/1000/live.m3u8
淮南新闻综合,http://stream.0554news.com/hnds1/sd/live.m3u8
黄山新闻综合,http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8
霍邱新闻综合,http://120.210.216.73:8080/ysten-business/live/SD12-576P-huoqiu/1.m3u8
金寨综合频道,http://112.26.80.214:1935/live/xinwen/playlist.m3u8
六安新闻综合,http://pili-live-rtmp.luan2.hfmt.net/luan2/jjpd.m3u8
舒城新闻综合,http://220.180.24.62:1935/live/live2/playlist.m3u8
宿松新闻综合,http://112.30.194.221:20080/live/a8fd37c471fa46e18ec17b6ce4730eb7/hls.m3u8
宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
太和新闻综合,http://p2.weizan.cn/1110366022/132071060845712961/live.m3u8
铜陵新闻综合,http://dstpush1.retalltech.com/app/stream1.m3u8
涡阳新闻综合,http://111.39.71.77:8099/live/one/playlist.m3u8
芜湖生活频道,http://play.wuhunews.cn/whbtv/channel2_sd.m3u8
芜湖新闻综合,http://play.wuhunews.cn/whbtv/channel1_sd.m3u8
五河新闻综合,http://60.170.109.149:1935/live/wuhe2/playlist.m3u8
萧县新闻综合,http://60.171.238.200:8278/xwzh/playlist.m3u8
休宁新闻综合,http://120.210.216.73:8080/ysten-business/live/hsxndst/1.m3u8
黟县综合频道,http://app.yixianfabu.com:1935/live/yixian/playlist.m3u8
岳西综合频道,http://58.243.4.22:1935/live/zonghe/playlist.m3u8
上海频道,#genre#
上海新闻综合,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=xwzhhd&rate=fhd
东方电影,http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
上海都市,http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8
劲爆体育,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=jbtyhd&rate=fhd
五星体育,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=ssty&rate=fhd
纪实人文,http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8
上海外语,http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
欢笑剧场,http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
BestTv,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=hdnba5&rate=fhd
BestTv,http://player.521fanli.cn/1691/sh/bstqqm3u8.php?id=hdnba6&rate=fhd
上海新闻,http://58.34.204.67:9901/tsfile/live/1015_1.m3u8
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
五星体育http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
东方影视,http://58.34.204.67:9901/tsfile/live/1016_1.m3u8
上海都市,http://58.34.204.67:9901/tsfile/live/1017_1.m3u8
第一财经,http://58.34.204.67:9901/tsfile/live/1018_1.m3u8
上海ICS,http://58.34.204.67:9901/tsfile/live/1019_1.m3u8
新视觉,http://58.34.204.67:9901/tsfile/live/1011_1.m3u8
欢笑剧场4K,http://58.34.204.67:9901/tsfile/live/1012_1.m3u8
纪实人文,http://58.34.204.67:9901/tsfile/live/1013_1.m3u8
生活时尚,http://58.34.204.67:9901/tsfile/live/1020_1.m3u8
全纪实,http://58.34.204.67:9901/tsfile/live/1010_1.m3u8
动作电影,http://58.34.204.67:9901/tsfile/live/1005_1.m3u8
都市剧场,http://58.34.204.67:9901/tsfile/live/1008_1.m3u8
动漫秀场,http://58.34.204.67:9901/tsfile/live/1009_1.m3u8
上海新闻,http://219.151.31.37/liveplay-kk.rtxapp.com/live/program/live/xwzhhd/4000000/mnf.m3u8
魅力足球高清,http://iptv.tvfix.org/hls/mlzqhd.m3u8
游戏风云高清,http://iptv.tvfix.org/hls/yxfyhd.m3u8
全纪实高清,http://iptv.tvfix.org/hls/qjshd.m3u8
纪实人文高清,http://iptv.tvfix.org/hls/docuchina.m3u8
CHC高清电影,http://iptv.tvfix.org/hls/chchd.m3u8
CHC家庭影院,http://iptv.tvfix.org/hls/chctv.m3u8
CHC动作电影,http://iptv.tvfix.org/hls/chcatv.m3u8
哈哈炫动高清,http://iptv.tvfix.org/hls/hhxdhd.m3u8
金鹰卡通,http://iptv.tvfix.org/hls/jykttv.m3u8
优漫卡通,http://iptv.tvfix.org/hls/ymkttv.m3u8
新动漫,http://iptv.tvfix.org/hls/xdmtv.m3u8
足球频道,http://iptv.tvfix.org/hls/zqhd.m3u8
北京文艺高清,http://iptv.tvfix.org/hls/brtv2hd.m3u8
北京科教高清,http://iptv.tvfix.org/hls/brtv3hd.m3u8
北京影视高清,http://iptv.tvfix.org/hls/brtv4hd.m3u8
北京财经高清,http://iptv.tvfix.org/hls/brtv5hd.m3u8
北京生活高清,http://iptv.tvfix.org/hls/brtv7hd.m3u8
北京青年高清,http://iptv.tvfix.org/hls/brtv8hd.m3u8
北京新闻高清,http://iptv.tvfix.org/hls/brtv9hd.m3u8
北京卡酷少儿高清,http://iptv.tvfix.org/hls/brtv10hd.m3u8
北京冬奥纪实高清,http://iptv.tvfix.org/hls/brtv11hd.m3u8
国内体育,#genre#
CCTV5HD,http://183.251.61.207/PLTV/88888888/224/3221227170/index.m3u8
CCTV5+HD,http://183.251.61.207/PLTV/88888888/224/3221225821/index.m3u8
五星体育http://shbu.live.bestvcdn.com.cn:8080/live/program/live/ssty/4000000/mnf.m3u8
新视觉,http://58.34.204.67:9901/tsfile/live/1011_1.m3u8
南方卫视,http://183.63.15.42:9901/tsfile/live/1012_1.m3u8
广东体育,http://183.63.15.42:9901/tsfile/live/0136_1.m3u8
江苏体育休闲,https://litchiapp-hls.jstv.com/lizhiapp/jsty.m3u8
博斯运动1,http://60.251.59.180:8503/http/59.120.8.187:8066/hls/210/10018/cstv18.m3u8
博斯运动2,http://60.251.59.180:8504/http/59.120.8.187:8081/hls/61/803/ch04.m3u8
ELEVEN SPORTS 1,http://60.251.59.180:8505/http/59.120.8.187:8078/hls/25/80/esport.m3u8
ELEVEN SPORTS 2,http://60.251.59.180:8506/http/59.120.8.187:8078/hls/26/80/esport2.m3u8
ASTRO SUPERSPORTS 1,http://203.154.243.89:21201/nakhon
ASTRO SUPERSPORTS 1,http://ultratv.one:2095/b6oxQeKNTb/x0zne3Wp/115615
ASTRO SUPERSPORTS 2,http://203.154.243.89:21202/nakhon
ASTRO SUPERSPORTS 2,http://ultratv.one:2095/b6oxQeKNTb/x0zne3Wp/115616
ASTRO SUPERSPORTS 3,http://203.154.243.89:21203/nakhon
ASTRO SUPERSPORTS 3,http://ultratv.one:2095/b6oxQeKNTb/x0zne3Wp/115617
ASTRO SUPERSPORTS 4,http://203.154.243.89:21204/nakhon
ASTRO SUPERSPORTS 4,http://axcestv.vip:8080/live/freeview/axcestv/791.ts
浙江频道,#genre#
